Date,Open,High,Low,Close,Volume,Adj Close
2017-07-17,36.47,36.69,35.50,36.36,2199200,36.21
2017-07-16,36.63,36.78,36.10,36.23,1509300,36.08
2017-07-13,36.02,36.74,35.78,36.67,1759700,36.52
2017-07-12,36.45,36.53,35.93,36.00,1610900,35.85
2017-07-11,36.40,37.30,36.17,36.86,1978000,36.71
2017-07-10,36.66,37.56,36.66,36.83,1961600,36.68
2017-07-09,36.31,36.87,36.00,36.79,1854500,36.64
2017-07-06,36.26,36.54,36.14,36.45,1013200,36.30
2017-07-05,36.94,37.08,36.31,36.70,1488600,36.55
2017-07-03,36.58,37.21,36.23,37.21,655500,37.06
2017-07-02,36.54,36.89,36.08,36.57,1211100,36.42
2017-06-29,36.37,36.55,35.88,36.55,1593800,36.40
2017-06-28,35.05,35.56,34.94,35.55,1367700,35.40
2017-06-27,35.03,35.94,34.80,35.46,1575100,35.31
2017-06-26,34.24,34.85,33.96,34.72,1578200,34.58
2017-06-25,34.47,34.47,33.86,34.09,1255500,33.95
2017-06-22,35.00,35.15,34.79,35.03,1190000,34.89
2017-06-21,36.17,36.28,34.71,34.75,1569200,34.61
2017-06-20,36.43,36.48,35.74,36.05,842700,35.90
2017-06-19,36.30,36.71,35.92,36.47,1509000,36.32
2017-06-18,35.50,36.19,35.33,36.04,1018000,35.89
2017-06-15,35.34,35.85,35.20,35.71,1682100,35.56
2017-06-14,35.42,35.52,34.70,35.08,2574800,34.94
2017-06-13,35.87,35.89,35.12,35.31,2001000,35.17
2017-06-12,35.78,36.13,35.33,36.09,1191600,35.94
2017-06-11,36.68,37.09,35.58,35.63,1671200,35.48
2017-06-08,36.19,36.36,35.94,36.30,1762300,36.15
2017-06-07,37.22,37.42,36.36,36.45,1214000,36.30
2017-06-06,36.43,36.74,36.35,36.74,1321700,36.59
2017-06-05,35.11,36.20,35.11,36.06,1650200,35.91
2017-06-04,35.41,35.55,34.81,35.26,1255300,35.12
2017-06-01,35.86,36.09,35.34,35.37,1911100,35.23
2017-05-31,36.72,37.04,36.16,36.59,1785100,36.44
2017-05-30,37.26,37.31,36.79,36.84,1334500,36.69
2017-05-29,37.67,37.87,37.38,37.69,2690100,37.54
2017-05-25,37.18,37.54,37.13,37.36,1339800,37.21
2017-05-24,36.69,37.26,36.64,37.25,2033200,37.10
2017-05-23,35.95,36.63,35.79,36.58,1450400,36.43
2017-05-22,36.28,37.17,36.05,36.28,2243600,36.13
2017-05-21,35.75,36.63,35.47,36.34,1981000,36.19
2017-05-18,35.99,36.26,35.46,35.58,1743900,35.43
2017-05-17,37.15,37.26,35.74,35.78,2821100,35.63
2017-05-16,38.11,38.44,37.23,37.25,1780500,36.94
2017-05-15,37.96,38.40,37.80,37.88,1585300,37.56
2017-05-14,37.83,38.16,37.64,37.88,1914000,37.56
2017-05-11,37.96,38.78,37.82,38.36,1162300,38.04
2017-05-10,38.75,38.87,38.19,38.34,1028600,38.02
2017-05-09,38.11,38.65,37.99,38.35,1988800,38.03
2017-05-08,38.40,38.89,38.11,38.75,1940600,38.43
2017-05-07,39.06,39.45,38.75,38.77,1825400,38.45
2017-05-04,39.22,39.27,38.89,39.01,1961600,38.68
2017-05-03,40.21,40.34,39.44,39.48,1592400,39.15
2017-05-02,40.40,40.41,39.91,40.14,1820200,39.80
2017-05-01,40.96,41.02,40.44,40.60,2664500,40.26
2017-04-30,41.53,41.62,40.84,40.95,1376000,40.61
2017-04-27,41.96,41.97,41.06,41.57,2172200,41.22
2017-04-26,42.00,42.56,41.29,41.61,2613700,41.26
2017-04-25,41.94,42.22,41.83,41.97,2921600,41.62
2017-04-24,41.49,41.93,41.39,41.62,1277400,41.27
2017-04-23,41.07,41.51,40.68,41.42,1754700,41.07
2017-04-20,41.40,42.04,41.20,41.61,1781800,41.26
2017-04-19,42.28,42.41,41.08,41.22,2393200,40.87
2017-04-18,42.40,42.63,42.18,42.25,1566100,41.90
2017-04-17,42.06,42.82,41.98,42.73,1858500,42.37
2017-04-16,41.97,42.21,41.56,41.62,1182100,41.27
2017-04-13,42.77,42.80,41.65,41.68,1454800,41.33
2017-04-12,42.00,43.02,41.88,42.91,1372800,42.55
2017-04-11,41.29,42.48,41.23,41.85,1761900,41.50
2017-04-10,41.54,41.55,40.68,40.77,1638600,40.43
2017-04-09,41.49,41.63,41.29,41.60,1217500,41.25
2017-04-05,42.01,42.41,41.84,42.32,981200,41.97
2017-04-04,42.58,42.91,42.12,42.26,965700,41.91
2017-04-03,42.19,43.05,42.08,42.97,1678600,42.61
2017-04-02,42.14,42.42,41.73,42.34,1792800,41.99
2017-03-30,41.84,42.18,41.30,42.10,1290100,41.75
2017-03-29,41.63,41.64,41.11,41.52,916400,41.17
2017-03-28,42.24,42.24,41.53,42.02,909500,41.67
2017-03-27,42.30,42.49,42.20,42.32,1364700,41.97
2017-03-26,42.00,42.55,41.91,42.32,1250400,41.97
2017-03-23,41.46,41.71,41.00,41.61,716700,41.26
2017-03-22,41.38,41.79,41.18,41.47,897600,41.12
2017-03-21,41.68,41.98,41.32,41.75,1468700,41.40
2017-03-20,41.74,41.99,41.49,41.57,1451000,41.22
2017-03-19,42.44,42.47,41.81,41.89,1407000,41.54
2017-03-16,42.25,42.67,41.66,42.60,2151300,42.24
2017-03-15,41.53,42.04,41.40,42.03,1563900,41.68
2017-03-14,41.38,41.89,41.31,41.52,1800200,41.17
2017-03-13,40.19,41.55,40.10,41.50,3125500,41.15
2017-03-12,38.92,40.08,38.76,40.05,2639700,39.71
2017-03-09,38.62,39.11,38.28,38.84,782700,38.51
2017-03-08,37.63,38.58,37.55,38.53,1051700,38.21
2017-03-07,37.43,37.65,37.21,37.35,1147100,37.04
2017-03-06,38.14,38.57,37.31,37.35,1422700,37.04
2017-03-05,38.77,38.89,38.53,38.54,1145100,38.22
2017-03-02,39.13,39.46,38.79,38.94,1095600,38.61
2017-03-01,38.38,39.29,38.38,39.23,1182500,38.90
2017-02-28,39.24,39.24,38.52,38.64,1244000,38.32
2017-02-27,38.20,39.33,38.20,39.23,1726900,38.90
2017-02-24,39.19,39.35,38.88,38.88,1402900,38.55
2017-02-23,38.66,39.18,38.49,39.15,953900,38.82
2017-02-22,38.26,39.03,38.26,38.77,1023700,38.45
2017-02-21,38.60,38.69,38.17,38.64,1268900,38.32
2017-02-17,38.72,38.95,38.36,38.53,777900,38.21
2017-02-16,38.20,38.61,38.06,38.45,1265300,38.13
2017-02-15,38.76,38.86,38.05,38.24,1167800,37.92
2017-02-14,38.35,38.75,38.29,38.66,1360500,38.18
2017-02-13,38.73,38.90,38.31,38.71,1100700,38.23
2017-02-10,38.05,38.67,37.92,38.44,2552700,37.96
2017-02-09,38.45,38.57,37.98,38.37,2772200,37.89
